Org,Org Country,Via,Dst,Dst Country,Stops,Seats_total
AYM,AE,,DCG,AE,0,2920
ANU,AG,,BBQ,AG,0,4788
BBQ,AG,,ANU,AG,0,4788
ANU,AG,,AXA,AI,0,11704
ANU,AG,,BGI,BB,0,11088
ANU,AG,POS,BGI,BB,1,5082
ANU,AG,,BGI,BB,0,32658
ANU,AG,DOM,BGI,BB,1,48170
ANU,AG,,SBH,BL,0,836
ANU,AG,,SBH,BL,0,2844
ANU,AG,,YUL,CA,0,2164
ANU,AG,,YYZ,CA,0,16650
ANU,AG,,YYZ,CA,0,10814
ANU,AG,POP,FRA,DE,1,6210
ANU,AG,,DOM,DM,0,46662
ANU,AG,PTP,DOM,DM,1,10008
ANU,AG,SXM,SDQ,DO,1,300
ANU,AG,,SDQ,DO,0,240
ANU,AG,,SDQ,DO,0,418
ANU,AG,,LGW,GB,0,103059
ANU,AG,,LGW,GB,0,39368
ANU,AG,UVF,LGW,GB,1,7980
ANU,AG,BGI,MAN,GB,1,1335
ANU,AG,,GND,GD,0,7128
ANU,AG,,PTP,GP,0,18034
ANU,AG,BGI,OGL,GY,1,26280
ANU,AG,,KIN,JM,0,16170
ANU,AG,,NEV,KN,0,38
ANU,AG,,SKB,KN,0,30888
ANU,AG,,SKB,KN,0,46168
ANU,AG,NEV,SKB,KN,1,38
ANU,AG,,SLU,LC,0,41926
ANU,AG,,FDF,MQ,0,184
ANU,AG,,MNI,MS,0,10404
ANU,AG,,SJU,PR,0,374
ANU,AG,,SJU,PR,0,7712
ANU,AG,DOM,SJU,PR,1,14040
ANU,AG,,SXM,SX,0,300
ANU,AG,,SXM,SX,0,27338
ANU,AG,AXA,SXM,SX,1,53426
ANU,AG,,SXM,SX,0,65
ANU,AG,,PLS,TC,0,14850
ANU,AG,,POS,TT,0,5082
ANU,AG,BGI,POS,TT,1,11088
ANU,AG,SLU,POS,TT,1,16790
ANU,AG,,TAB,TT,0,30591
ANU,AG,,ATL,US,0,8027
ANU,AG,EWR,ATL,US,1,471
ANU,AG,EWR,BOS,US,1,2263
ANU,AG,EWR,CLE,US,1,1064
ANU,AG,,CLT,US,0,1024
ANU,AG,,CLT,US,0,4464
ANU,AG,EWR,DFW,US,1,668
ANU,AG,,EWR,US,0,37948
ANU,AG,EWR,IAH,US,1,167
ANU,AG,,JFK,US,0,44100
ANU,AG,,JFK,US,0,3750
ANU,AG,EWR,LAX,US,1,167
ANU,AG,EWR,MCO,US,1,2158
ANU,AG,,MIA,US,0,54750
ANU,AG,EWR,ORD,US,1,167
ANU,AG,CLT,ORF,US,1,744
ANU,AG,EWR,PHX,US,1,1336
ANU,AG,EWR,RSW,US,1,2021
ANU,AG,EWR,SFO,US,1,805
ANU,AG,EWR,TPA,US,1,1079
