Org,Org Country,Via,Dst,Dst Country,Stops,Seats_total
BCV,BZ,,BZE,BZ,0,8760
BCV,BZ,TZA,BZE,BZ,1,4380
BCV,BZ,,CUK,BZ,0,8760
BCV,BZ,,CYD,BZ,0,4380
BCV,BZ,,SPR,BZ,0,4380
BCV,BZ,CUK,SPR,BZ,1,8760
BCV,BZ,,TZA,BZ,0,4380
BCV,BZ,BZE,TZA,BZ,1,8760
BZE,BZ,,BCV,BZ,0,4380
BZE,BZ,TZA,BCV,BZ,1,4380
BZE,BZ,,CUK,BZ,0,43800
BZE,BZ,,CUK,BZ,0,18260
BZE,BZ,,CYC,BZ,0,10
BZE,BZ,,CYD,BZ,0,4380
BZE,BZ,TZA,CYD,BZ,1,4380
BZE,BZ,,DGA,BZ,0,21900
BZE,BZ,TZA,DGA,BZ,1,17520
BZE,BZ,,DGA,BZ,0,30490
BZE,BZ,TZA,DGA,BZ,1,3650
BZE,BZ,DGA,INB,BZ,1,3640
BZE,BZ,,PLJ,BZ,0,8760
BZE,BZ,DGA,PLJ,BZ,1,21900
BZE,BZ,,PLJ,BZ,0,5950
BZE,BZ,DGA,PLJ,BZ,1,6490
BZE,BZ,,SPR,BZ,0,4380
BZE,BZ,CUK,SPR,BZ,1,43800
BZE,BZ,,SPR,BZ,0,22490
BZE,BZ,CYC,SPR,BZ,1,18270
BZE,BZ,DGA,SVK,BZ,1,20360
BZE,BZ,,TZA,BZ,0,61320
BZE,BZ,,TZA,BZ,0,64580
CUK,BZ,,BCV,BZ,0,8760
CUK,BZ,,BZE,BZ,0,43800
CUK,BZ,,BZE,BZ,0,18280
CUK,BZ,,CZH,BZ,0,20
CUK,BZ,,SPR,BZ,0,78840
CUK,BZ,,SPR,BZ,0,18320
CUK,BZ,,TZA,BZ,0,26280
CUK,BZ,BZE,TZA,BZ,1,18280
CYC,BZ,,SPR,BZ,0,10
CZH,BZ,,ORZ,BZ,0,3650
CZH,BZ,,SPR,BZ,0,26280
CZH,BZ,,SPR,BZ,0,10950
CZH,BZ,ORZ,SPR,BZ,1,3650
DGA,BZ,,BZE,BZ,0,30660
DGA,BZ,TZA,BZE,BZ,1,4380
DGA,BZ,,BZE,BZ,0,24600
DGA,BZ,,INB,BZ,0,3640
DGA,BZ,SVK,INB,BZ,1,5690
DGA,BZ,,PLJ,BZ,0,39420
DGA,BZ,,PLJ,BZ,0,10110
DGA,BZ,SVK,PLJ,BZ,1,20790
DGA,BZ,PLJ,PND,BZ,1,21900
DGA,BZ,PLJ,PND,BZ,1,2040
DGA,BZ,,SVK,BZ,0,20400
DGA,BZ,PLJ,SVK,BZ,1,10
DGA,BZ,,TZA,BZ,0,4380
DGA,BZ,BZE,TZA,BZ,1,21900
DGA,BZ,BZE,TZA,BZ,1,24450
INB,BZ,DGA,BZE,BZ,1,140
INB,BZ,,DGA,BZ,0,140
INB,BZ,PLJ,DGA,BZ,1,3830
INB,BZ,,PLJ,BZ,0,26090
INB,BZ,,PND,BZ,0,12400
INB,BZ,,SVK,BZ,0,20
INB,BZ,PLJ,SVK,BZ,1,15400
ORZ,BZ,,CZH,BZ,0,3650
ORZ,BZ,,SPR,BZ,0,3650
PLJ,BZ,,BZE,BZ,0,4380
PLJ,BZ,DGA,BZE,BZ,1,30660
PLJ,BZ,,BZE,BZ,0,4100
PLJ,BZ,DGA,BZE,BZ,1,4610
PLJ,BZ,,DGA,BZ,0,35040
PLJ,BZ,,DGA,BZ,0,4610
PLJ,BZ,SVK,DGA,BZ,1,19970
PLJ,BZ,,INB,BZ,0,12640
PLJ,BZ,,PND,BZ,0,21900
PLJ,BZ,,PND,BZ,0,4500
PLJ,BZ,INB,PND,BZ,1,12400
PLJ,BZ,,SVK,BZ,0,19840
PLJ,BZ,INB,SVK,BZ,1,20
PLJ,BZ,DGA,TZA,BZ,1,4380
PND,BZ,PLJ,DGA,BZ,1,21900
PND,BZ,,INB,BZ,0,14240
PND,BZ,PLJ,INB,BZ,1,30
PND,BZ,,PLJ,BZ,0,21900
PND,BZ,,PLJ,BZ,0,2390
PND,BZ,INB,PLJ,BZ,1,14240
PND,BZ,PLJ,SVK,BZ,1,2360
SPR,BZ,,BCV,BZ,0,4380
SPR,BZ,CUK,BCV,BZ,1,8760
SPR,BZ,,BZE,BZ,0,4380
SPR,BZ,CUK,BZE,BZ,1,43800
SPR,BZ,,BZE,BZ,0,18810
SPR,BZ,CUK,BZE,BZ,1,18280
SPR,BZ,,CUK,BZ,0,78840
SPR,BZ,,CUK,BZ,0,18300
SPR,BZ,,CYD,BZ,0,4380
SPR,BZ,BCV,CYD,BZ,1,4380
SPR,BZ,,CZH,BZ,0,26280
SPR,BZ,,CZH,BZ,0,10930
SPR,BZ,CUK,CZH,BZ,1,3670
SPR,BZ,,ORZ,BZ,0,3650
SPR,BZ,,TZA,BZ,0,21900
SPR,BZ,CUK,TZA,BZ,1,26280
SPR,BZ,,TZA,BZ,0,3650
SPR,BZ,BZE,TZA,BZ,1,18200
SVK,BZ,DGA,BZE,BZ,1,19850
SVK,BZ,,DGA,BZ,0,19850
