Period,Org,Org Country,Via,Dst,Dst Country,Mkt Car,Stops,Seats,Miles,Blktm,Departures,Seats_total,Remove,ASMs
2015,BCV,BZ,"",BZE,BZ,9N,0,12,35,20,730,8760,,306600
2015,BCV,BZ,TZA,BZE,BZ,9N,1,12,35,35,365,4380,,153300
2015,BCV,BZ,"",CUK,BZ,9N,0,12,58,45,730,8760,,508080
2015,BCV,BZ,"",CYD,BZ,9N,0,12,24,10,365,4380,,105120
2015,BCV,BZ,"",SPR,BZ,9N,0,12,69,50,365,4380,,302220
2015,BCV,BZ,CUK,SPR,BZ,9N,1,12,69,55,730,8760,,604440
2015,BCV,BZ,"",TZA,BZ,9N,0,12,41,25,365,4380,,179580
2015,BCV,BZ,BZE,TZA,BZ,9N,1,12,41,30,730,8760,,359160
2015,BZE,BZ,"",BCV,BZ,9N,0,12,35,20,365,4380,,153300
2015,BZE,BZ,TZA,BCV,BZ,9N,1,12,35,35,365,4380,,153300
2015,BZE,BZ,"",CUK,BZ,9N,0,12,23,8,3650,43800,,1007400
2015,BZE,BZ,"",CUK,BZ,MY,0,10,23,6,1826,18260,,419980
2015,BZE,BZ,"",CYC,BZ,MY,0,10,20,10,1,10,,200
2015,BZE,BZ,"",CYD,BZ,9N,0,12,60,35,365,4380,,262800
2015,BZE,BZ,TZA,CYD,BZ,9N,1,12,60,50,365,4380,,262800
2015,BZE,BZ,"",DGA,BZ,9N,0,12,39,15,1825,21900,,854100
2015,BZE,BZ,TZA,DGA,BZ,9N,1,12,39,25,1460,17520,,683280
2015,BZE,BZ,"",DGA,BZ,MY,0,10,39,16,3049,30490,,1189110
2015,BZE,BZ,TZA,DGA,BZ,MY,1,10,39,25,365,3650,,142350
2015,BZE,BZ,DGA,INB,BZ,MY,1,10,69,34,364,3640,,251160
2015,BZE,BZ,"",PLJ,BZ,9N,0,12,69,28,730,8760,,604440
2015,BZE,BZ,DGA,PLJ,BZ,9N,1,12,69,35,1825,21900,,1511100
2015,BZE,BZ,"",PLJ,BZ,MY,0,10,69,25,595,5950,,410550
2015,BZE,BZ,DGA,PLJ,BZ,MY,1,10,69,37,649,6490,,447810
2015,BZE,BZ,"",SPR,BZ,9N,0,12,34,15,365,4380,,148920
2015,BZE,BZ,CUK,SPR,BZ,9N,1,12,34,15,3650,43800,,1489200
2015,BZE,BZ,"",SPR,BZ,MY,0,10,34,15,2249,22490,,764660
2015,BZE,BZ,CYC,SPR,BZ,MY,1,10,34,16,1827,18270,,621180
2015,BZE,BZ,DGA,SVK,BZ,MY,1,10,56,29,2036,20360,,1140160
2015,BZE,BZ,"",TZA,BZ,9N,0,12,8,5,5110,61320,,490560
2015,BZE,BZ,"",TZA,BZ,MY,0,10,8,5,6458,64580,,516640
2015,CUK,BZ,"",BCV,BZ,9N,0,12,58,38,730,8760,,508080
2015,CUK,BZ,"",BZE,BZ,9N,0,12,23,8,3650,43800,,1007400
2015,CUK,BZ,"",BZE,BZ,MY,0,10,23,10,1828,18280,,420440
2015,CUK,BZ,"",CZH,BZ,MY,0,10,50,20,2,20,,1000
2015,CUK,BZ,"",SPR,BZ,9N,0,12,13,7,6570,78840,,1024920
2015,CUK,BZ,"",SPR,BZ,MY,0,10,13,5,1832,18320,,238160
2015,CUK,BZ,"",TZA,BZ,9N,0,12,19,9,2190,26280,,499320
2015,CUK,BZ,BZE,TZA,BZ,MY,1,10,19,20,1828,18280,,347320
2015,CYC,BZ,"",SPR,BZ,MY,0,10,16,5,1,10,,160
2015,CZH,BZ,"",ORZ,BZ,MY,0,10,22,10,365,3650,,80300
2015,CZH,BZ,"",SPR,BZ,9N,0,12,42,20,2190,26280,,1103760
2015,CZH,BZ,"",SPR,BZ,MY,0,10,42,20,1095,10950,,459900
2015,CZH,BZ,ORZ,SPR,BZ,MY,1,10,42,35,365,3650,,153300
2015,DGA,BZ,"",BZE,BZ,9N,0,12,39,16,2555,30660,,1195740
2015,DGA,BZ,TZA,BZE,BZ,9N,1,12,39,25,365,4380,,170820
2015,DGA,BZ,"",BZE,BZ,MY,0,10,39,15,2460,24600,,959400
2015,DGA,BZ,"",INB,BZ,MY,0,10,33,14,364,3640,,120120
2015,DGA,BZ,SVK,INB,BZ,MY,1,10,33,25,569,5690,,187770
2015,DGA,BZ,"",PLJ,BZ,9N,0,12,31,15,3285,39420,,1222020
2015,DGA,BZ,"",PLJ,BZ,MY,0,10,31,15,1011,10110,,313410
2015,DGA,BZ,SVK,PLJ,BZ,MY,1,10,31,21,2079,20790,,644490
2015,DGA,BZ,PLJ,PND,BZ,9N,1,12,71,40,1825,21900,,1554900
2015,DGA,BZ,PLJ,PND,BZ,MY,1,10,71,35,204,2040,,144840
2015,DGA,BZ,"",SVK,BZ,MY,0,10,19,9,2040,20400,,387600
2015,DGA,BZ,PLJ,SVK,BZ,MY,1,10,19,35,1,10,,190
2015,DGA,BZ,"",TZA,BZ,9N,0,12,36,15,365,4380,,157680
2015,DGA,BZ,BZE,TZA,BZ,9N,1,12,36,26,1825,21900,,788400
2015,DGA,BZ,BZE,TZA,BZ,MY,1,10,36,25,2445,24450,,880200
2015,INB,BZ,DGA,BZE,BZ,MY,1,10,69,30,14,140,,9660
2015,INB,BZ,"",DGA,BZ,MY,0,10,33,10,14,140,,4620
2015,INB,BZ,PLJ,DGA,BZ,MY,1,10,33,25,383,3830,,126390
2015,INB,BZ,"",PLJ,BZ,MY,0,10,5,5,2609,26090,,130450
2015,INB,BZ,"",PND,BZ,MY,0,10,38,15,1240,12400,,471200
2015,INB,BZ,"",SVK,BZ,MY,0,10,13,6,2,20,,260
2015,INB,BZ,PLJ,SVK,BZ,MY,1,10,13,16,1540,15400,,200200
2015,ORZ,BZ,"",CZH,BZ,MY,0,10,22,10,365,3650,,80300
2015,ORZ,BZ,"",SPR,BZ,MY,0,10,38,20,365,3650,,138700
2015,PLJ,BZ,"",BZE,BZ,9N,0,12,69,35,365,4380,,302220
2015,PLJ,BZ,DGA,BZE,BZ,9N,1,12,69,36,2555,30660,,2115540
2015,PLJ,BZ,"",BZE,BZ,MY,0,10,69,25,410,4100,,282900
2015,PLJ,BZ,DGA,BZE,BZ,MY,1,10,69,35,461,4610,,318090
2015,PLJ,BZ,"",DGA,BZ,9N,0,12,31,15,2920,35040,,1086240
2015,PLJ,BZ,"",DGA,BZ,MY,0,10,31,15,461,4610,,142910
2015,PLJ,BZ,SVK,DGA,BZ,MY,1,10,31,20,1997,19970,,619070
2015,PLJ,BZ,"",INB,BZ,MY,0,10,5,5,1264,12640,,63200
2015,PLJ,BZ,"",PND,BZ,9N,0,12,42,20,1825,21900,,919800
2015,PLJ,BZ,"",PND,BZ,MY,0,10,42,15,450,4500,,189000
2015,PLJ,BZ,INB,PND,BZ,MY,1,10,42,25,1240,12400,,520800
2015,PLJ,BZ,"",SVK,BZ,MY,0,10,12,7,1984,19840,,238080
2015,PLJ,BZ,INB,SVK,BZ,MY,1,10,12,19,2,20,,240
2015,PLJ,BZ,DGA,TZA,BZ,9N,1,12,67,35,365,4380,,293460
2015,PND,BZ,PLJ,DGA,BZ,9N,1,12,71,40,1825,21900,,1554900
2015,PND,BZ,"",INB,BZ,MY,0,10,38,15,1424,14240,,541120
2015,PND,BZ,PLJ,INB,BZ,MY,1,10,38,30,3,30,,1140
2015,PND,BZ,"",PLJ,BZ,9N,0,12,42,20,1825,21900,,919800
2015,PND,BZ,"",PLJ,BZ,MY,0,10,42,15,239,2390,,100380
2015,PND,BZ,INB,PLJ,BZ,MY,1,10,42,25,1424,14240,,598080
2015,PND,BZ,PLJ,SVK,BZ,MY,1,10,51,30,236,2360,,120360
2015,SPR,BZ,"",BCV,BZ,9N,0,12,69,55,365,4380,,302220
2015,SPR,BZ,CUK,BCV,BZ,9N,1,12,69,48,730,8760,,604440
2015,SPR,BZ,"",BZE,BZ,9N,0,12,34,15,365,4380,,148920
2015,SPR,BZ,CUK,BZE,BZ,9N,1,12,34,18,3650,43800,,1489200
2015,SPR,BZ,"",BZE,BZ,MY,0,10,34,15,1881,18810,,639540
2015,SPR,BZ,CUK,BZE,BZ,MY,1,10,34,20,1828,18280,,621520
2015,SPR,BZ,"",CUK,BZ,9N,0,12,13,5,6570,78840,,1024920
2015,SPR,BZ,"",CUK,BZ,MY,0,10,13,5,1830,18300,,237900
2015,SPR,BZ,"",CYD,BZ,9N,0,12,93,70,365,4380,,407340
2015,SPR,BZ,BCV,CYD,BZ,9N,1,12,93,70,365,4380,,407340
2015,SPR,BZ,"",CZH,BZ,9N,0,12,42,20,2190,26280,,1103760
2015,SPR,BZ,"",CZH,BZ,MY,0,10,42,20,1093,10930,,459060
2015,SPR,BZ,CUK,CZH,BZ,MY,1,10,42,35,367,3670,,154140
2015,SPR,BZ,"",ORZ,BZ,MY,0,10,38,20,365,3650,,138700
2015,SPR,BZ,"",TZA,BZ,9N,0,12,32,16,1825,21900,,700800
2015,SPR,BZ,CUK,TZA,BZ,9N,1,12,32,19,2190,26280,,840960
2015,SPR,BZ,"",TZA,BZ,MY,0,10,32,15,365,3650,,116800
2015,SPR,BZ,BZE,TZA,BZ,MY,1,10,32,25,1820,18200,,582400
2015,SVK,BZ,DGA,BZE,BZ,MY,1,10,56,28,1985,19850,,1111600
2015,SVK,BZ,"",DGA,BZ,MY,0,10,19,8,1985,19850,,377150
2015,SVK,BZ,"",INB,BZ,MY,0,10,13,10,325,3250,,42250
2015,SVK,BZ,PLJ,INB,BZ,MY,1,10,13,18,1004,10040,,130520
2015,SVK,BZ,"",PLJ,BZ,MY,0,10,12,7,1715,17150,,205800
2015,SVK,BZ,INB,PLJ,BZ,MY,1,10,12,20,324,3240,,38880
2015,SVK,BZ,PLJ,PND,BZ,MY,1,10,51,25,246,2460,,125460
2015,TZA,BZ,"",BCV,BZ,9N,0,12,41,25,365,4380,,179580
2015,TZA,BZ,BZE,BCV,BZ,9N,1,12,41,30,365,4380,,179580
2015,TZA,BZ,"",BZE,BZ,9N,0,12,8,5,1825,21900,,175200
2015,TZA,BZ,"",BZE,BZ,MY,0,10,8,5,5727,57270,,458160
2015,TZA,BZ,"",CUK,BZ,9N,0,12,19,10,2190,26280,,499320
2015,TZA,BZ,"",CUK,BZ,MY,0,10,19,10,1,10,,190
2015,TZA,BZ,BZE,CUK,BZ,MY,1,10,19,15,1826,18260,,346940
2015,TZA,BZ,BZE,CYC,BZ,MY,1,10,16,20,1,10,,160
2015,TZA,BZ,"",CYD,BZ,9N,0,12,66,40,365,4380,,289080
2015,TZA,BZ,BZE,CYD,BZ,9N,1,12,66,45,365,4380,,289080
2015,TZA,BZ,"",DGA,BZ,9N,0,12,36,15,1460,17520,,630720
2015,TZA,BZ,BZE,DGA,BZ,9N,1,12,36,25,365,4380,,157680
2015,TZA,BZ,"",DGA,BZ,MY,0,10,36,15,365,3650,,131400
2015,TZA,BZ,BZE,DGA,BZ,MY,1,10,36,25,1460,14600,,525600
2015,TZA,BZ,DGA,PLJ,BZ,9N,1,12,67,35,1460,17520,,1173840
2015,TZA,BZ,BZE,PLJ,BZ,MY,1,10,67,35,614,6140,,411380
2015,TZA,BZ,"",SPR,BZ,9N,0,12,32,19,1825,21900,,700800
2015,TZA,BZ,CUK,SPR,BZ,9N,1,12,32,25,2190,26280,,840960
2015,TZA,BZ,"",SPR,BZ,MY,0,10,32,15,1,10,,320
2015,TZA,BZ,CUK,SPR,BZ,MY,1,10,32,25,2189,21890,,700480
