Period,Org,Org Country,Via,Dst,Dst Country,Mkt Car,Stops,Seats,Miles,Blktm,Departures,Seats_total,Remove,ASMs
2015,AYM,AE,"",DCG,AE,J6,0,8,69,75,365,2920,,201480
2015,ANU,AG,"",BBQ,AG,5M,0,9,34,20,532,4788,,162792
2015,BBQ,AG,"",ANU,AG,5M,0,9,34,20,532,4788,,162792
2015,ANU,AG,"",AXA,AI,LI,0,50,111,40,232,11704,,1299144
2015,ANU,AG,"",BGI,BB,BW,0,154,319,65,72,11088,,3537072
2015,ANU,AG,POS,BGI,BB,BW,1,154,319,239,33,5082,,1621158
2015,ANU,AG,"",BGI,BB,LI,0,69,319,85,472,32658,,10417902
2015,ANU,AG,DOM,BGI,BB,LI,1,65,319,128,738,48170,,15366230
2015,ANU,AG,"",SBH,BL,PV,0,12,87,39,69,836,,72732
2015,ANU,AG,"",SBH,BL,TJ,0,9,87,40,316,2844,,247428
2015,ANU,AG,"",YUL,CA,AC,0,144,2074,302,15,2164,,4488136
2015,ANU,AG,"",YYZ,CA,AC,0,140,2107,316,119,16650,,35081550
2015,ANU,AG,"",YYZ,CA,WS,0,146,2107,319,74,10814,,22785098
2015,ANU,AG,POP,FRA,DE,DE,1,270,4446,760,23,6210,,27609660
2015,ANU,AG,"",DOM,DM,LI,0,57,115,40,825,46662,,5366130
2015,ANU,AG,PTP,DOM,DM,LI,1,72,115,80,139,10008,,1150920
2015,ANU,AG,SXM,SDQ,DO,7N,1,150,525,175,2,300,,157500
2015,ANU,AG,"",SDQ,DO,JY,0,30,525,120,8,240,,126000
2015,ANU,AG,"",SDQ,DO,LI,0,46,525,130,9,418,,219450
2015,ANU,AG,"",LGW,GB,BA,0,297,4076,468,347,103059,,420068484
2015,ANU,AG,"",LGW,GB,VS,0,266,4076,482,148,39368,,160463968
2015,ANU,AG,UVF,LGW,GB,VS,1,266,4076,636,30,7980,,32526480
2015,ANU,AG,BGI,MAN,GB,MT,1,267,4025,685,5,1335,,5373375
2015,ANU,AG,"",GND,GD,BA,0,297,354,70,24,7128,,2523312
2015,ANU,AG,"",PTP,GP,LI,0,71,63,30,253,18034,,1136142
2015,ANU,AG,BGI,OGL,GY,LI,1,72,755,250,365,26280,,19841400
2015,ANU,AG,"",KIN,JM,BW,0,154,989,154,105,16170,,15992130
2015,ANU,AG,"",NEV,KN,WM,0,19,52,25,2,38,,1976
2015,ANU,AG,"",SKB,KN,BA,0,297,62,30,104,30888,,1915056
2015,ANU,AG,"",SKB,KN,LI,0,58,62,30,793,46168,,2862416
2015,ANU,AG,NEV,SKB,KN,WM,1,19,62,55,2,38,,2356
2015,ANU,AG,"",SLU,LC,LI,0,57,221,65,730,41926,,9265646
2015,ANU,AG,"",FDF,MQ,3S,0,46,183,60,4,184,,33672
2015,ANU,AG,"",MNI,MS,5M,0,9,35,20,1156,10404,,364140
2015,ANU,AG,"",SJU,PR,BB,0,34,291,95,11,374,,108834
2015,ANU,AG,"",SJU,PR,LI,0,57,291,85,136,7712,,2244192
2015,ANU,AG,DOM,SJU,PR,LI,1,72,291,190,195,14040,,4085640
2015,ANU,AG,"",SXM,SX,7N,0,150,106,50,2,300,,31800
2015,ANU,AG,"",SXM,SX,LI,0,70,106,40,388,27338,,2897828
2015,ANU,AG,AXA,SXM,SX,LI,1,53,106,91,1004,53426,,5663156
2015,ANU,AG,"",SXM,SX,WM,0,32,106,40,2,65,,6890
2015,ANU,AG,"",PLS,TC,BA,0,297,752,109,50,14850,,11167200
2015,ANU,AG,"",POS,TT,BW,0,154,453,80,33,5082,,2302146
2015,ANU,AG,BGI,POS,TT,BW,1,154,453,155,72,11088,,5022864
2015,ANU,AG,SLU,POS,TT,LI,1,46,453,160,365,16790,,7605870
2015,ANU,AG,"",TAB,TT,BA,0,297,419,81,103,30591,,12817629
2015,ANU,AG,"",ATL,US,DL,0,157,1806,271,51,8027,,14496762
2015,ANU,AG,EWR,ATL,US,UA,1,157,1806,568,3,471,,850626
2015,ANU,AG,EWR,BOS,US,UA,1,162,1824,490,14,2263,,4127712
2015,ANU,AG,EWR,CLE,US,UA,1,152,2054,568,7,1064,,2185456
2015,ANU,AG,"",CLT,US,AA,0,128,1715,273,8,1024,,1756160
2015,ANU,AG,"",CLT,US,US,0,124,1715,268,36,4464,,7655760
2015,ANU,AG,EWR,DFW,US,UA,1,167,2443,642,4,668,,1631924
2015,ANU,AG,"",EWR,US,UA,0,157,1785,294,241,37948,,67737180
2015,ANU,AG,EWR,IAH,US,UA,1,167,2290,696,1,167,,382430
2015,ANU,AG,"",JFK,US,AA,0,150,1773,283,294,44100,,78189300
2015,ANU,AG,"",JFK,US,B6,0,150,1773,286,25,3750,,6648750
2015,ANU,AG,EWR,LAX,US,UA,1,167,3665,817,1,167,,612055
2015,ANU,AG,EWR,MCO,US,UA,1,154,1463,571,14,2158,,3157154
2015,ANU,AG,"",MIA,US,AA,0,150,1328,209,365,54750,,72708000
2015,ANU,AG,EWR,ORD,US,UA,1,167,2305,539,1,167,,384935
2015,ANU,AG,CLT,ORF,US,US,1,124,1622,420,6,744,,1206768
2015,ANU,AG,EWR,PHX,US,UA,1,167,3296,721,8,1336,,4403456
2015,ANU,AG,EWR,RSW,US,UA,1,155,1432,602,13,2021,,2894072
2015,ANU,AG,EWR,SFO,US,UA,1,161,3904,781,5,805,,3142720
2015,ANU,AG,EWR,TPA,US,UA,1,154,1516,642,7,1079,,1635764
2015,ANU,AG,"",EIS,VG,JY,0,30,201,65,3,90,,18090
2015,ANU,AG,SXM,EIS,VG,LI,1,71,201,102,496,35114,,7057914
2015,ANU,AG,"",EIS,VG,V6,0,19,201,75,90,1710,,343710
2015,ANU,AG,"",EIS,VG,YO,0,19,201,75,14,266,,53466
2015,AXA,AI,"",ANU,AG,LI,0,61,111,40,61,3742,,415362
2015,AXA,AI,"",SBH,BL,Q3,0,9,25,15,365,3285,,82125
2015,AXA,AI,"",SJU,PR,9K,0,9,194,80,123,1107,,214758
2015,AXA,AI,"",SJU,PR,BB,0,34,194,55,80,2720,,527680
2015,AXA,AI,"",SJU,PR,TJ,0,9,194,66,366,3294,,639036
2015,AXA,AI,"",SXM,SX,LI,0,47,11,24,172,8008,,88088
2015,AXA,AI,"",SXM,SX,Q3,0,9,11,10,792,7128,,78408
2015,AXA,AI,"",SXM,SX,WM,0,19,11,10,1,19,,209
2015,AXA,AI,SXM,EIS,VG,LI,1,47,98,87,172,8008,,784784
2015,EZE,AR,GIG,DXB,AE,EK,1,296,8492,1110,365,108178,,918647576
2015,AEP,AR,"",AFA,AR,AR,0,96,568,108,165,15840,,8997120
